KeyOrValue,Hex,Type,FilePaths
Key,0x1b5fc789d7,float,/assist/bomberman/param/param.prc
Key,0x277bb9fa0d,int,/assist/bomberman/param/param.prc
Key,0x2585d6a01b,int,/assist/bomberman/param/param.prc
Key,0x242007eb65,int,/assist/bomberman/param/param.prc
Key,0x22951bc389,float,/assist/bomberman/param/param.prc
Key,0x2384c242a2,int,/assist/claptrap/param/param.prc
Key,0x2754088a31,float,/assist/claptrap/param/param.prc
Key,0x256c14c09a,int,/assist/claptrap/param/param.prc
Key,0x255019ffc3,int,/assist/claptrap/param/param.prc
Key,0x2a5391864b,float,/assist/claptrap/param/param.prc
Key,0x23367b9db6,int,/assist/claptrap/param/param.prc
Key,0x2bbdc4e715,float,/assist/claptrap/param/param.prc
Key,0x290e6cd422,float,/assist/claptrap/param/param.prc
Key,0x27cb578189,float,/assist/claptrap/param/param.prc
Key,0x27d6650e5e,float,/assist/claptrap/param/param.prc
Key,0x36ba227a55,int,/assist/claptrap/param/param.prc
Key,0x35e5b0de75,int,/assist/claptrap/param/param.prc
Key,0x26c4c07a57,int,/assist/claptrap/param/param.prc
Key,0x1d4a6f50b6,float,/assist/claptrap/param/param.prc
Key,0x1ea73139c1,int,/assist/claptrap/param/param.prc
Key,0x2c6bdd82db,float,/assist/darkknight/param/param.prc
Key,0x2a6a7434df,float,/assist/darkknight/param/param.prc
Key,0x31f94577a9,float,/assist/darkknight/param/param.prc
Key,0x0e3cc4907c,bool,/assist/darkknight/param/param.prc | /assist/lin/param/param.prc | /item/common/param/assist_param.prc | /item/dragoonset/param/param.prc | /item/genesisset/param/param.prc | /item/pickelbomb/param/param.prc | /item/sensorbomb/param/param.prc | /item/smashball/param/param.prc | /item/smashballheavy/param/param.prc | /item/staff/param/param.prc
Key,0x19a0f93594,float,/assist/devil/param/param.prc
Key,0x1876544f26,int,/assist/devil/param/param.prc
Key,0x22e3da0378,float,/assist/dossun/param/param.prc
Key,0x1ef178c160,float,/assist/dossun/param/param.prc
Key,0x23db1bc379,float,/assist/dossun/param/param.prc
Key,0x11c9a905b6,int,/assist/dossun/param/param.prc
Key,0x186d8df6cc,float,/assist/driver/param/param.prc
Key,0x17bb1c4625,float,/assist/driver/param/param.prc
Key,0x1b2b274843,float,/assist/driver/param/param.prc
Key,0x1b07fe38db,float,/assist/driver/param/param.prc
Key,0x1bace34d94,float,/assist/driver/param/param.prc
Key,0x22e9b73426,float,/assist/driver/param/param.prc
Key,0x22c56e44be,float,/assist/driver/param/param.prc
Key,0x226e7331f1,float,/assist/driver/param/param.prc
Key,0x26bc364be8,int,/assist/driver/param/param.prc
